,ai-system-evaluation.other-information-wish,no_addition,requests_explanation
326,N/a,1,0
3,Yes,1,0
6,Yes,1,0
243,idk,1,0
175,N/a,1,0
361,none,1,0
145,none,1,0
52,None,1,0
234,data,1,0
186,none,1,0
0,none,1,0
302,None,1,0
426,none,1,0
85,None,1,0
10,none,1,0
318,Data,0,0
416,Links,0,0
422,facts,0,0
103,dates,0,0
279,dates,0,0
96,Author,0,0
406,A link,0,0
304,Source,0,0
343,Sources,0,0
65,ratings,0,0
146,nothing,1,0
201,sources,0,0
273,Grammer,0,0
316,Sources,0,0
192,Nothing,1,0
26,"Nothing ",1,0
153,Anything,1,0
382,"Sources ",0,0
141,"Nothing ",1,0
129,AI % rate,0,0
221,Uncertain,1,0
138,Citations,0,0
418,Timelines,0,0
271,References,0,0
68,the source,0,0
389,The author,0,0
80,"Resources ",0,0
398,Source indo,0,0
24,Author name,0,0
405,Source name,0,0
270,THE SOURCES,0,0
419,True source,0,0
265,Author info,0,0
311,"The source ",0,0
165,"The article ",0,0
313,fact checked,0,0
336,fact checker,0,0
43,who wrote it,0,0
25,Sources name,0,0
282,cited sources,0,0
167,Fact checking,0,0
182,"numbers,depth",0,0
386,Fact checking,0,0
228,other sources,0,0
118,cited sources,0,0
320,Nothing at all,1,0
401,Sources cited.,0,0
319,Article Author,0,0
331,Verified facts,0,0
363,publisher name,0,0
417,Is it dangerous,0,0
354,date and source,0,0
102,Original source,0,0
168,"Call to actions ",0,0
327,Links to sources,0,0
423,Sources reliable,0,0
390,The writers bias,0,0
32,Actual Publisher,0,0
286,who is the source,0,0
107,Source of article,0,0
148,The Actual Source,0,0
142,None at this time,1,0
179,Author of article,0,0
47,"Grammar mistakes ",0,0
202,First publication.,0,0
71,"Related articles. ",0,0
177,Published location,0,0
122,sources or webpage,0,0
119,Journalist ratings,0,0
112,Supporting Sources,0,0
292,"Dates and sources ",0,0
376,Number of comments,0,0
214,Maybe a source page,0,0
16,Writers background.,0,0
56,What site posted it,0,0
72,Food and Technology,0,0
140,citations or sources,0,0
385,Grammar and spelling,0,0
290,A link to the source.,0,0
12,Publisher information,0,0
420,more about the source,0,0
57,A few more references,0,0
171,who wrote the article,0,0
41,other trusted sources,0,0
100,the name of the source,0,0
39,The actual source name,0,0
147,Direct link to source.,0,0
87,everything was perfect.,1,0
17,the newspaper publisher,0,0
20,"where it was published ",0,0
173,I love the explanations,1,0
288,"reference to last data ",0,0
412,Name of the news source,0,0
415,Reliability of a article,0,0
166,"the name of the sources ",0,0
277,The publication location,0,0
22,links from other sources,0,0
133,truthfulness of religion,0,0
92,"If it has been verified ",0,0
218,Do the research yourself,0,0
33,The site that it is from,0,0
310,The website it came from,0,0
259,credibility of the source,0,0
91,The author of the article,0,0
285,The author of the article,0,0
75,Where the info comes from,0,0
284,"Reading emotional driven ",0,0
369,what website it came from,0,0
116,The news source it’s froM,0,0
206,"Interviews from witnesses ",0,0
345,The source webpage itself.,0,0
231,where Al got his info from,0,1
15,reliable quantitative data,0,0
393,LINKS TO SEARCH THE SOURCE,0,0
266,The tone detected by the AI,0,0
283,I cannot think of anything.,1,0
34,More details about sources.,0,0
409,reliable source information,0,0
303,The source website address.,0,0
83,"Actual source material site ",0,0
78,Evidence of lies or mistruth,0,0
248,the detailed reading passage,0,0
255,opinion versus fact content.,0,0
120,Information about the author,0,0
61,where it was first published,0,0
84,The exact name of the source,0,0
204,Sources cited by the article,0,0
315,"Maybe key words being used. ",0,0
11,Information about the source.,0,0
58,other articles that same kind,0,0
324,categorization by user groups,0,0
209,"The date when they were said ",0,0
95,"Sources of there information ",0,0
123,"Additional sources, and dates",0,0
322,The source of the explanation,0,0
164,Links to any references cited,0,0
298,Comments from credible people.,0,0
339,References to outside sources/,0,0
280,more information on the source,0,0
414,a link to the original article,0,0
212,The source of the information.,0,0
54,a detail of what could be fake,0,1
18,Name of the source/publication,0,0
220,Fact checks from other sources.,0,0
49,where the article was published,0,0
64,"maybe an author of the article ",0,0
291,The origin of the news article.,0,0
70,Its text and personal knowledge,0,0
263,More information on the source.,0,0
172,Whether there are sources cited,0,0
281,Where the article was published,0,0
274,where the article was published,0,0
194,Posting party/ sponsor/ journal,0,0
332,Corroboration from other sources,0,0
21,The actual source of the article,0,0
115,the actual source of the article,0,0
139,Author/ qualifications of author,0,0
364,I cannot think of anything else.,1,0
30,"Where to find this news article ",0,0
89,"No other information is needed. ",1,0
82,more in depth source information,0,0
187,"Where the article was published ",0,0
325,more information about the source,0,0
342,Where the source is actually from,0,0
216,"more about the emotional content ",0,0
188,Where they got their sources from,0,0
137,More witness encounter statements,0,0
13,Citations of the article sources.,0,0
305,Link to the actual article maybe.,0,0
110,"titles, key dates, publishing date",0,0
198,"check multiple sources to compare ",0,0
366,Formal criteria followed by the AI,0,1
268,reason for classification of source,0,1
74,What the source was for the article,0,0
73,"Sources cited and links to sources ",0,0
48,The content and the actual validity,0,0
36,coherence with other online sources,0,0
258,"The name of the source it camr from ",0,0
106,"Grammar checks, peer reviewed or not",0,0
306,"More information about the sources. ",0,0
90,"Source of information, when possible.",0,0
66,easier explanations with source links,0,1
301,Several sources from differing sides.,0,0
276,using all the explainability features,0,0
360,the author of the article and company,0,0
207,Where there resources are coming from,0,0
359,Put bias aside and only report facts.,0,0
143,check if names in articles make sense,0,0
413,estimated political bias of the source,0,0
169,Platform news article was published on,0,0
174,"Data comparison to other news stories ",0,0
79,Who wrote/published the actual article.,0,0
278,Where the articles are being published.,0,0
205,Any sources used to compile the article,0,0
105,The information provided was sufficient,1,0
152,"Website or publisher name, google query",0,0
407,Links to references made by the article.,0,0
262,The Source of the news they are gettting,0,0
380,confirmation from 2nd trustworthy source,0,0
425,a link to verify what AL has researched.,0,0
29,"If the author is an expert on the topic ",0,0
323,Information about where it was published,0,0
297,Source and a brief summary of the source,0,0
227,The publisher or financer of the article,0,0
333,if countering the claims source the info,0,0
223,Name of the source should be identified.,0,0
81,"The name of the source, company or author",0,0
144,Links to sources mentioned in the article,0,0
178,It was able to detect even when i couldnt,1,0
51,The authors and fact checker AI's sources.,0,0
111,link to article and Author of  the article,0,0
334,"The name of the publication or newspaper. ",0,0
134,info on  how the ai-system makes decisions,0,1
162,The direct sources they were  pulled from.,0,0
246,information on any sponsors of the article,0,0
295,Raiting an article based on political bias,0,0
180,"Source Information and author credentials ",0,0
128,news articles that backup the news provided,0,0
183,key words that are extreme and sound biased,0,0
19,The website address that it was published on,0,0
224,"Information regarding legitimacy of sources ",0,0
193,"Publication method, like online or newspaper",0,0
245,"Alternative sentiment from outside sources. ",0,0
383,"Sources that can corroborate AI information ",0,0
357,"The type of source i.e. newspaper, blog, etc.",0,0
375,"If the same story has been posted elsewhere. ",0,0
131,Author(s) name; source name; article comments,0,0
408,"Ability to query the AI for more information. ",0,0
151,"How it knows if it's a trusted source or not. ",0,1
299,Different sources of cross checked information,0,0
404,how the story was reported by other new outlets,0,0
275,"Link to article to show where it was published ",0,0
55,Where the article was obtained would be helpful,0,0
308,"references, like publication ,date, author, etc",0,0
264,more information about the source of the article,0,0
257,"Where the AI is getting its info from directly. ",0,0
236,The name of the source and the name of the author,0,0
256,Not sure what would help more than what you have.,1,0
126,"I would like to see and read more into the story ",0,0
244,"highlight calls to action, statistics, and sources",0,0
77,Corroborating stories from other reputable sources,0,0
160,links to other news sites covering the same event.,0,0
330,"A little background history of certain characters. ",0,0
101,"Additional information used by ai in its judgement ",0,1
356,"Showing a link to the article, or even the website.",0,0
161,I would like to know the source of the information.,0,0
23,"Fact checking from credible sources via annotation. ",0,0
399,who the author is and what website the article is on,0,0
45,"source of the information, date when incident happen",0,0
309,Links to the proof used to make those determinations,0,0
208,make sure the explainability prompts are no in quotes,0,0
157,"I don't what other information I would like to obtain ",1,0
37,Details providing proof and fact checking with sources,0,0
213,"IF it was from a trustworthy or untrustworthy source. ",0,0
189,Is the article an opinion piece or informational piece?,0,0
67,Sources cited and name of publication would be helpful.,0,0
113,I’d like to know more about how the AI determines things,0,1
410,stating what information was withdraw from what website.,0,0
374,More explanations showing why something is fake or true.,0,1
135,"Other systems that have found the article true or false ",0,0
86,a little description of why it says its truthful or not.,0,1
125,The source that the AI-System gets its information from.,0,0
427,I would like to see sources posting similar information.,0,0
98,"How many sources there are,  and the source's name itself",0,0
353,"I would like citations. on where the articles coming from ",0,0
42,"location of the source would be good information to have. ",0,0
108,"Article source type such as blog, online newspaper, etc...",0,0
176,"Reliability of sources, references and date of publication",0,0
53,reliability of the sources mentioned in the article itself,0,0
254,Check for spelling errors (hitch hiker - was written wrong),0,0
411,Whom wrote the article and how many places it was published.,0,0
155,"More information on sources, overall truthfulness of sources",0,0
372,I would like a list of primary sources used by the AI system,0,0
289,"Who the source is and a possible link to the source website ",0,0
344,"More source material of where the information was gathered. ",0,0
340,I'm not too sure the AI seems todo a good job of it already.,1,0
99,"Look differents websites, that really exist this information.",0,0
269,Citations and cross references to other articles or websites.,0,0
233,Maybe other articles that have been posted by the same source.,0,0
242,Would like to see what sources the AI gets its information from,0,0
44,The exact source of who wrote the article and who published it.,0,0
239,How many other times the same topic of article has been posted.,0,0
346,The actual source and not just whether it is trustworthy or not.,0,0
421,"comparision between other articles about the same topic or news ",0,0
395,I would like to see the AI give more reasoning behind its rating,0,1
35,i think the information about the source is the most useful to me,0,0
235,The linked sources to these articles and their prior credibility.,0,0
247,Publish Date can help with determining if information is new/old.,0,0
402,"The details such  who were involved, and what outlet published it",0,0
197,I feel like the AI did a very good job assessing the truthfulness.,1,0
40,More information about the source of the article would be helpful.,0,0
391,Links for further reading regarding the true facts about the story,0,0
60,what was the exact source...like the name of the news media outlet,0,0
341,I think it did a good job at pointing out why it was fake or truth,1,0
396,What was taken into account for the Truthfulness assessment score.,0,0
400,The reliability of the source and how the information was obtained.,0,0
368,"Direct citation of sources included in ""Explainability Feature"" text",0,0
241,Who or where it was published from? What are the authors creditials?,0,0
28,"Original source of the article, then look at the articles citations.",0,0
347,other articles that may support the claim of the article in question,0,0
136,The publication or source that is deemed trustworthy or untrustworthy.,0,0
249,A link to info being used by the AI to check Explainability feature 2.,0,0
156,If there are other articles from different sources about the same story,0,0
130,"I googled and researched websites I would find credible with the facts. ",0,0
349,How it determines which websites are false information and which are not.,0,1
392,links to other sources correcting/clarifying misinformation in an article,0,0
362,Knowledge about the author's expertise and/or links to studies referenced.,0,0
38,"what the source is, not just the trustworthiness according to the AI system",0,0
114," A brief description of why the article is rated as it is would be helpful.",0,0
293,Maybe having two separate AI would be good to provide two different analysis,0,0
388,I would like to have the sources listed at the bottom of the page (passage).,0,0
350,I think the AI should provide the source upfront when giving its assessment.,0,0
195,"More information about the sources used in the article would be beneficial. ",0,0
127,The identity of the writer and the specific website the article was found on.,0,0
370,"Writers of the article, publication sources, and where the article was written",0,0
222,I would like to see less opinions and just facts on what the article is about.,0,0
384,"the link to the original article or the source from which the original article ",0,0
260,"The source of witch the information can be either proven to be right or wrong. ",0,0
149,How many trustworthy sources are publishing similar articles on specific events.,0,0
217,Scan for links to multiple sources of the same information to fact check against.,0,0
196,"Author of the article, maybe a search on people discussed in the article. Sources?",0,0
94,"The location of the article's reader could also be used to evaluate, in some cases. ",0,0
69,"A short detailed explanation explaining it's answer other than a trustworthy source. ",0,1
307,"Information/statistics on why the news source is ranked truthworthy vs untrustworthy ",0,0
14,"Commentary on it from other sources, or stories from other sources that corroborate it",0,0
321,"The citations to be able to fact check what is being said by the article and AI alike ",0,0
377,Other sources and their take on a particular subject. Providing direct quotes and links.,0,0
365,I would like if references made in the article and summary could be linked to the source,0,0
154,"The information of the source was included, but knowing the actual source would be better",0,0
424,"Many articles were opinion based.  It would be a good call out from the A1 to note this.  ",0,0
226,"Cross checking with other trusted sources. Verifications that people and events are real.  ",0,0
210,I would like to know who the source is and not just if they are trustworthy or untrustworthy,0,0
121,"The place the article was published would be helpful. (i.e.- Newspaper, Facebook, Blog, etc.)",0,0
335,"It would be nice to have a record of the sources being truthful or spreading misinformation. ",0,0
272,"Links to any sources for the article, classification if it is an opinion or fact-based article.",0,0
397,"I feel like it was good as it was, it just seemed like the fake percentage was wrong sometimes. ",1,0
184,"The name of the publication from where the article came from(consistently, not just once in a while).",0,0
109,I think it would be helpful to have information about which political affiliation the news comes from.,0,0
232,"Other articles on the same topic, cited sources, bias meter, statistic checker, and comprehension review",0,0
251,"The publisher of the source would be helpful, whether that is an author or a website the source came from",0,0
300,The publication or source of the news story would be helpful at the initial stage to assess truthfullness.,0,0
150,"When this AI finds an untrustworthy source, it should name the source and explain why it cannot be trusted.",0,1
238,I would have liked to been able to see the news sources alongside the trustworthiness of these news sources.,0,0
124,"A specific name for the source quoted as opposed to a superficial term of ""trustworthy and or untrustworthy.""",0,0
200,"Aside from the information show, possibly recommending other articles reporting related news to the original.",0,0
59,"Who wrote the article, where it was published and if there are multiple other trustworthy sources in agreement.",0,0
403,"if the content is from different unrelated sources I would personaly prefer if it shows like plajarizm detectors ",0,0
381,"Sources of the statistics in articles made more clear, maybe more transparency of the entity behind studies cited",0,0
63,"Media Bias, whether its a primary or secondary source, and if it is a secondary source what is it's primary source",0,0
229,Ai needs provide more sources of information and news found. backing up the facts to form a more believable story!,0,0
240,The news source the article is from. I typically can get a better gauge of its validity and truthfulness from that.,0,0
225,More information about how it identifies if the original source information is trustworthy or not may prove helpful.,0,1
191,Possibly more information about the author of the article to see if they have previously posted accurate information.,0,0
76,"More information about the source, date of creation of website/newspaper, author, author history previous articles written",0,0
215,"How the facts are being cherry picked.  Simply saying facts in the article are correct does not guarantee complete context ",0,0
338,Search engine results of the article title so I can view all the sources that the AI is using to draw its information from.,0,0
294,"Links to reliable/reputable sources about the topic, such as BBC News or NPR or the academic article the article references. ",0,0
387,"All available  details, from sources to possible narratives being pushed and the reasons why a certain narrative may be favored.",0,0
351,"To better assess the truthfulness of an article, it is helpful to gather additional information from reliable and diverse sources",0,0
199,"I felt as if the AI used the same formula for every article and if the controversy was popular then he automatically went for it. ",0,0
211,"The actual name or identity of a source rather than it just being indicated whether or not it's a trusted or untrustworthy source ",0,0
190,"I particularly liked the info about the source, but I found that the text passages the AI selected were not always relevant to rating",0,0
367,"If there are other sources online that have also analyzed the article against real or fake news, and if so, what were their findings? ",0,0
230,The actual source it came from so I can run that source through a media bias chart to get a better idea of its neutrality and reliability.,0,0
337,"Knowing the date published and writer of the article, as well as the sources used, would help me better assess the truthfulness of an article.",0,0
31,"I don't think it is possible but I would like to see a highlighted area within the article that provided the AI with the push one way or the other. ",0,1
348,"There are a lot of different aspect of the articles it seemed the AI didn't even address, which were actually why I gave the truthfulness scores I did. ",0,0
50,"The place in which it was published, like what magazine or what newspaper or what website it was published on, not the source, but the actual publication.",0,0
62,"No additional information is needed in my opinion I was able to find my information elsewhere when needed to confirm the ""AI's"" assumption on the article ",1,0
46,"One article didn't have any information on the headline claim, such as ""X organization's policy is"", but then the written material was an ideological opinion.",0,0
203,Links to similar news articles so I could either gather more information or do my own research to decide whether or not I believe the news to be fake or true.,0,0
117,Providing multiple sources for the article would further verify the integrity of the article. Some sort of fact-checking information would also be a good addition.,0,0
237,"Author name and credentials. Also, an article can have heavy emotional wording but still be 100% true. From what I’ve seen, the AI doesn’t take that into consideration. ",0,0
394,"Actual facts that did happen, without it assuming the things that happened either happened or not because of something else without actually have concrete information about it.",0,0
104,Allow the AI System to identify the references mentioned and where they can be found to verify the credibility or non-credibility rating that it was used to determine the rating.,0,0
97,"What is the algorithm? What information does it find truthful? Dates, peoples names? Could it tell me if this is an opinion or editorial article? Is it from a random blog or a newspaper?",0,1
371,"I would like more on the truth or falsity of the articles' factual assertions. Several of the articles made factual assertions that were plainly false. The AI sometimes did not catch these. ",0,0
355,"It would be great if information was provided regarding the factors used in the truthfulness assessment, because I feel like it did not match with the natural language explanation all the time.  ",0,1
329,I would like to see more information for both sides of true and false. A lot of the AI explanations had either why the article was true or false and did not explain both the true and the false sides to the articles.,0,0
4,Who the source actually is and why they have been classified the way they have been.  I don't believe the reliability of the source because that can also be programmed into the AI based on the parameters set by the coders,0,0
358,"To evaluate the veracity of an article, other relevant information includes the source of the article, the date of publication, the presence of reliable references and citations, the author´s reputation and consistency with other trustwortly sources.",0,0
185,"More information on how AI arrives at its conclusion about the quality of the source. It states whether the source is good or bad, but doesn't tell us why, exactly. Is it a tabloid? An opinion blog? News commentary? Some of that info might be helpful. ",0,0
158,"I think assessing whether information is true rather than whether it could be true is the most important classification. I'd rather that the AI actually search the web to find if the information was true rather than rate it based on how ""emotional"" it was.",0,0
378,Callout for citations or lack thereof; distance from a primary source.  Some articles need additional fact checking or supporting figures.  Automated perusal of references an citation would be helpful if possible.  Links to reviews or responses would be useful.,0,0
261,"There are social psychologists who have compiled data about techniques of ""social influence"" and ""persuasion"". It would be extremely helpful to have the ai identify those techniques and to point them out. (loaded language is one of them, which this ai is already using).",0,0
8,"One of the most important things in determining the truth of an article is looking at the emotional words being used. I think that the AI should track the emotional words that are not used within quotes, to further determine if the article is a thought piece, or a legitimate news article. ",0,1
159,"I might prefer a line by line/claim by claim assessment and rating rather than selecting limited text to base an overall truthfulness rating on. I felt like the text that was evaluated in some of the samples was not refelcting the most salient points and claims in the article that I might have chosen to ""fact check"" instead of what the AI chose.",0,0
163,,0,0
181,,0,0
267,,0,0
328,,0,0
